
ACCOUNT_NUM                   ,      CNUM,      SNUM,    BBCODE,CREATE_DAY          ,     MONEY
------------------------------,----------,----------,----------,--------------------,----------
882-475-15745                 ,      1105,  11415102,     11572,2020-12-01          ,  72000000
186-971-75168                 ,      1111,  11415106,     11572,2020-12-01          ,  88000000
198-813-84265                 ,      1107,  11415105,     11572,2020-12-02          ,  52000000
594-987-71298                 ,      1111,  11415107,     11753,2020-12-02          , -78000000
516-154-87060                 ,      1109,  11415107,     11572,2020-12-02          ,   8000000
894-651-21898                 ,      1112,  11415105,     11794,2020-12-03          , -15200000
519-874-21005                 ,      1106,  11415102,     11572,2020-12-03          ,  76000000
123-842-27168                 ,      1110,  11415105,     11642,2020-12-04          ,  42000000
298-848-45618                 ,      1106,  11415106,     11697,2020-12-04          ,    500000
129-843-29428                 ,      1109,  11415107,     11635,2020-12-05          ,    720000
266-628-21483                 ,      1105,  11415102,     11642,2020-12-05          ,  48200000
296-726-97235                 ,      1108,  11415105,     11572,2020-12-06          ,     98000
294-249-98728                 ,      1109,  11415105,     11697,2020-12-06          ,   1500000
285-854-82900                 ,      1105,  11415106,     11588,2020-12-06          ,    192000
291-806-00658                 ,      1108,  11415108,     11794,2020-12-07          , -98500000
150-985-88716                 ,      1112,  11415108,     11642,2020-12-07          ,   7000000
184-813-99825                 ,      1112,  11415108,     11588,2020-12-07          ,   4800000
846-872-84652                 ,      1108,  11415106,     11588,2020-12-07          ,    500000
186-214-77758                 ,      1106,  11415107,     11753,2020-12-08          , -13000000
211-865-78725                 ,      1107,  11415102,     11635,2020-12-08          ,    100000
128-872-89452                 ,      1110,  11415102,     11635,2020-12-08          ,    150000
