
PERSON_NUM                    ,PNAME               ,PHONE
------------------------------,--------------------,------------------------------
990829-2516845                ,ÇÑÁö¿ø              ,010-6842-5061
991015-2648135                ,¾çÈ¿Á¤              ,010-7255-8684
990829-1324864                ,±èµµ¿µ              ,010-8430-2813
990324-1843650                ,Á¶ÀçÇõ              ,010-8133-6642
991213-1370549                ,±èµ¿Áø              ,010-7286-2846
950501-2806848                ,±è¹ÌÇö              ,010-8436-6542
960125-2097565                ,Çö½ÂÈñ              ,010-5484-8179
970404-2638499                ,±èÁöÈ£              ,010-7828-5871
990618-2104659                ,ÃÖ¿¹¿ø              ,010-8713-4726
940912-1054602                ,±è³²ÁØ              ,010-9828-5173
921204-1334890                ,±è¼®Áø              ,010-0010-4824
951013-1990437                ,¹ÚÁö¹Î              ,010-1004-8128
951230-1740326                ,±èÅÂÇü              ,010-2424-8282
